ID	Name	AttributeOne	AttributeTwo	AttributeThree
12015	²Ê¡¤°ÔÌå¡¤ÈñÈÐ¡¤Í´»÷(Èþ)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12016	²Ê¡¤°ÔÌå¡¤ÈñÈÐ¡¤Í´»÷(ËÁ)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12017	²Ê¡¤°ÔÌå¡¤ÈñÈÐ¡¤Í´»÷(Îé)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12018	²Ê¡¤°ÔÌå¡¤ÈñÈÐ¡¤Í´»÷(Â½)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12019	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(Ò¼)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12020	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(·¡)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12021	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(Èþ)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12022	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(ËÁ)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12023	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(Îé)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12024	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤¿ñ¹¥(Â½)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12025	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(Ò¼)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12026	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(·¡)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12027	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(Èþ)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12028	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(ËÁ)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12029	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(Îé)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12030	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤ÈñÈÐ(Â½)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12031	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(Ò¼)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12032	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(·¡)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12033	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(Èþ)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12034	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(ËÁ)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12035	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(Îé)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12036	²Ê¡¤°ÔÌå¡¤Õ¶Ìú¡¤Í´»÷(Â½)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12037	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(Ò¼)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12038	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(·¡)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12039	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(Èþ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12040	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(ËÁ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12041	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(Îé)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12042	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤¿ñ¹¥(Â½)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12043	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(Ò¼)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12044	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(·¡)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12045	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(Èþ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12046	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(ËÁ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12047	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(Îé)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12048	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤Õ¶Ìú(Â½)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12049	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(Ò¼)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12050	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(·¡)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12051	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(Èþ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12052	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(ËÁ)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12053	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(Îé)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12054	²Ê¡¤°ÔÌå¡¤Í´»÷¡¤ÈñÈÐ(Â½)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12055	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(Ò¼)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12056	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(·¡)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12057	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(Èþ)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12058	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(ËÁ)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12059	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(Îé)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12060	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤¿ñ¹¥(Â½)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12061	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(Ò¼)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12062	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(·¡)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12063	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(Èþ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12064	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(ËÁ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12065	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(Îé)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12066	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Õ¶Ìú(Â½)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12067	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(Ò¼)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12068	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(·¡)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12069	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(Èþ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12070	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(ËÁ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12071	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(Îé)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12072	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤ÈñÈÐ(Â½)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12073	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(Ò¼)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12074	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(·¡)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12075	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(Èþ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12076	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(ËÁ)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12077	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(Îé)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12078	²Ê¡¤°ÔÌå¡¤´ó»¯¡¤Í´»÷(Â½)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12079	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(Ò¼)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12080	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(·¡)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12081	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(Èþ)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12082	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(ËÁ)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12083	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(Îé)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12084	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤¿ñ¹¥(Â½)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12085	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(Ò¼)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12086	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(·¡)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12087	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(Èþ)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12088	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(ËÁ)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12089	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(Îé)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12090	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Õ¶Ìú(Â½)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12091	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(Ò¼)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12092	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(·¡)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12093	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(Èþ)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12094	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(ËÁ)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12095	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(Îé)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12096	²Ê¡¤Õæ¸Õ¡¤ÈñÈÐ¡¤Í´»÷(Â½)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12097	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(Ò¼)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12098	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(·¡)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12099	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(Èþ)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12100	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(ËÁ)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12101	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(Îé)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12102	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤¿ñ¹¥(Â½)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12103	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(Ò¼)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12104	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(·¡)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12105	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(Èþ)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12106	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(ËÁ)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12107	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(Îé)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12108	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤ÈñÈÐ(Â½)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12109	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(Ò¼)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12110	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(·¡)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12111	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(Èþ)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12112	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(ËÁ)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12113	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(Îé)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12114	²Ê¡¤Õæ¸Õ¡¤Õ¶Ìú¡¤Í´»÷(Â½)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12115	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(Ò¼)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12116	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(·¡)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12117	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(Èþ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12118	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(ËÁ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12119	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(Îé)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12120	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤¿ñ¹¥(Â½)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12121	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(Ò¼)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12122	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(·¡)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12123	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(Èþ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12124	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(ËÁ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12125	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(Îé)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12126	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤Õ¶Ìú(Â½)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12127	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(Ò¼)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12128	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(·¡)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12129	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(Èþ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12130	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(ËÁ)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12131	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(Îé)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12132	²Ê¡¤Õæ¸Õ¡¤Í´»÷¡¤ÈñÈÐ(Â½)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12133	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(Ò¼)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12134	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(·¡)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12135	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(Èþ)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12136	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(ËÁ)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12137	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(Îé)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12138	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤¿ñ¹¥(Â½)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12139	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(Ò¼)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12140	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(·¡)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12141	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(Èþ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12142	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(ËÁ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12143	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(Îé)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12144	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Õ¶Ìú(Â½)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12145	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(Ò¼)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12146	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(·¡)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12147	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(Èþ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12148	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(ËÁ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12149	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(Îé)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12150	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤ÈñÈÐ(Â½)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12151	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(Ò¼)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12152	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(·¡)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12153	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(Èþ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12154	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(ËÁ)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12155	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(Îé)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12156	²Ê¡¤Õæ¸Õ¡¤´ó»¯¡¤Í´»÷(Â½)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
